Column,Wavelength,Intensity
0,583.18022984128947,622
1,583.27766153356856,626
2,583.37509214961233,630
3,583.472521688174,624
4,583.56995014800725,623
5,583.66737752786537,618
6,583.76480382650186,635
7,583.86222904267,629
8,583.95965317512332,630
9,584.05707622261514,624
10,584.15449818389857,633
11,584.25191905772726,624
12,584.34933884285442,632
13,584.44675753803324,638
14,584.54417514201691,631
15,584.64159165355909,653
16,584.73900707141252,648
17,584.83642139433084,664
18,584.93383462106692,667
19,585.03124675037418,663
20,585.1286577810057,663
21,585.22606771171479,663
22,585.32347654125431,666
23,585.42088426837768,669
24,585.51829089183786,664
25,585.615696410388,661
26,585.71310082278114,647
27,585.81050412777029,646
28,585.90790632410869,641
29,586.00530741054922,648
30,586.10270738584506,643
31,586.200106248749,637
32,586.29750399801412,634
33,586.39490063239339,631
34,586.49229615063985,626
35,586.58969055150635,621
36,586.68708383374587,633
37,586.78447599611138,625
38,586.88186703735562,626
39,586.97925695623167,626
40,587.07664575149215,624
41,587.17403342189027,626
42,587.27141996617854,624
43,587.36880538311,633
44,587.46618967143741,625
45,587.5635728299136,620
46,587.66095485729113,625
47,587.75833575232309,627
48,587.85571551376211,628
49,587.95309414036092,621
50,588.05047163087227,615
51,588.14784798404878,620
52,588.24522319864332,623
53,588.34259727340861,631
54,588.43997020709708,615
55,588.53734199846156,617
56,588.6347126462548,618
57,588.73208214922931,622
58,588.82945050613762,618
59,588.92681771573245,628
60,589.02418377676645,628
61,589.12154868799212,621
62,589.21891244816209,620
63,589.316275056029,624
64,589.41363651034521,614
65,589.51099680986329,624
66,589.608355953336,619
67,589.70571393951536,631
68,589.80307076715428,622
69,589.90042643500522,625
70,589.99778094182057,624
71,590.09513428635273,632
72,590.19248646735423,633
73,590.28983748357746,628
74,590.38718733377493,631
75,590.48453601669894,646
76,590.581883531102,635
77,590.67922987573627,645
78,590.77657504935462,640
79,590.87391905070888,646
80,590.97126187855167,640
81,591.06860353163529,645
82,591.16594400871213,639
83,591.26328330853448,645
84,591.36062142985452,641
85,591.45795837142464,637
86,591.55529413199724,629
87,591.65262871032451,634
88,591.7499621051586,633
89,591.84729431525193,630
90,591.94462533935666,622
91,592.041955176225,620
92,592.13928382460938,617
93,592.23661128326171,624
94,592.33393755093437,617
95,592.43126262637963,616
96,592.52858650834946,610
97,592.62590919559625,610
98,592.72323068687183,611
99,592.82055098092883,604
100,592.917870076519,613
101,593.01518797239453,607
102,593.11250466730769,608
103,593.20982016001062,608
104,593.30713444925516,612
105,593.40444753379359,615
106,593.50175941237808,614
107,593.59907008376047,616
108,593.696379546693,614
109,593.79368779992774,602
110,593.89099484221651,607
111,593.98830067231177,606
112,594.0856052889651,615
113,594.1829086909288,608
114,594.2802108769547,611
115,594.37751184579486,609
116,594.47481159620145,616
117,594.57211012692619,607
118,594.66940743672137,615
119,594.76670352433848,617
120,594.86399838852981,619
121,594.96129202804752,610
122,595.058584441643,609
123,595.15587562806854,617
124,595.25316558607608,619
125,595.35045431441756,622
126,595.44774181184459,602
127,595.54502807710935,611
128,595.64231310896378,611
129,595.73959690615948,615
130,595.83687946744863,615
131,595.93416079158283,619
132,596.03144087731414,613
133,596.12871972339451,607
134,596.22599732857543,616
135,596.32327369160907,615
136,596.42054881124693,623
137,596.51782268624129,613
138,596.61509531534364,619
139,596.71236669730592,625
140,596.80963683087987,627
141,596.90690571481741,621
142,597.00417334787016,620
143,597.10143972879,626
144,597.19870485632873,625
145,597.2959687292381,631
146,597.39323134626977,627
147,597.4904927061757,623
148,597.5877528077076,627
149,597.68501164961708,626
150,597.782269230656,625
151,597.879525549576,624
152,597.976780605129,624
153,598.07403439606651,622
154,598.17128692114034,615
155,598.26853817910217,615
156,598.36578816870383,618
157,598.46303688869682,605
158,598.560284337833,616
159,598.657530514864,615
160,598.7547754185415,609
161,598.85201904761709,619
162,598.94926140084272,616
163,599.04650247696975,609
164,599.14374227475,606
165,599.24098079293515,612
166,599.33821803027672,607
167,599.43545398552658,613
168,599.5326886574361,605
169,599.62992204475734,602
170,599.72715414624133,613
171,599.82438496064015,606
172,599.92161448670527,610
173,600.01884272318841,606
174,600.11606966884108,615
175,600.213295322415,609
176,600.31051968266161,602
177,600.40774274833268,610
178,600.50496451817969,608
179,600.60218499095447,611
180,600.69940416540828,608
181,600.796622040293,610
182,600.89383861436,606
183,600.991053886361,601
184,601.08826785504743,612
185,601.18548051917094,618
186,601.28269187748322,604
187,601.37990192873588,610
188,601.47711067168018,604
189,601.57431810506785,615
190,601.67152422765048,605
191,601.76872903817957,602
192,601.86593253540684,610
193,601.96313471808367,610
194,602.06033558496154,605
195,602.15753513479217,606
196,602.254733366327,605
197,602.35193027831758,610
198,602.44912586951546,614
199,602.54632013867229,611
200,602.64351308453934,610
201,602.74070470586832,604
202,602.837895001411,603
203,602.93508396991831,618
204,603.03227161014217,613
205,603.129457920834,609
206,603.22664290074556,611
207,603.32382654862806,613
208,603.42100886323317,611
209,603.51818984331226,613
210,603.61536948761693,599
211,603.71254779489891,615
212,603.80972476390923,613
213,603.90690039339984,615
214,604.004074682122,615
215,604.10124762882731,616
216,604.19841923226738,619
217,604.2955894911936,619
218,604.39275840435732,612
219,604.48992597051028,618
220,604.587092188404,611
221,604.68425705678965,617
222,604.78142057441914,613
223,604.87858274004373,621
224,604.975743552415,618
225,605.07290301028445,616
226,605.17006111240369,619
227,605.26721785752386,613
228,605.3643732443968,616
229,605.461527271774,620
230,605.55867993840673,627
231,605.65583124304669,616
232,605.75298118444539,626
233,605.85012976135408,617
234,605.94727697252449,617
235,606.04442281670811,622
236,606.14156729265642,627
237,606.23871039912081,620
238,606.33585213485287,625
239,606.43299249860411,631
240,606.530131489126,634
241,606.62726910517017,628
242,606.72440534548787,633
243,606.82154020883092,644
244,606.91867369395061,645
245,607.01580579959841,639
246,607.11293652452594,646
247,607.21006586748467,649
248,607.30719382722623,653
249,607.40432040250209,661
250,607.50144559206365,670
251,607.59856939466238,675
252,607.69569180905,683
253,607.792812833978,693
254,607.8899324681978,706
255,607.98705071046084,718
256,608.084167559519,747
257,608.18128301412332,761
258,608.27839707302576,795
259,608.37550973497753,836
260,608.47262099873046,880
261,608.56973086303583,922
262,608.66683932664534,996
263,608.76394638831061,1039
264,608.8610520467829,1053
265,608.958156300814,1074
266,609.0552591491554,1100
267,609.15236059055849,1123
268,609.24946062377512,1089
269,609.34655924755657,1079
270,609.44365646065444,1034
271,609.54075226182067,1016
272,609.63784664980631,956
273,609.73493962336318,918
274,609.83203118124288,874
275,609.92912132219692,835
276,610.02621004497689,802
277,610.1232973483344,785
278,610.22038323102117,777
279,610.31746769178847,760
280,610.414550729388,753
281,610.5116323425716,744
282,610.60871253009077,742
283,610.70579129069688,733
284,610.80286862314176,743
285,610.89994452617714,736
286,610.99701899855427,726
287,611.09409203902521,733
288,611.19116364634124,720
289,611.28823381925417,730
290,611.38530255651563,725
291,611.4823698568772,708
292,611.57943571909072,710
293,611.67650014190747,718
294,611.77356312407937,710
295,611.870624664358,706
296,611.96768476149521,710
297,612.06474341424246,711
298,612.16180062135163,704
299,612.25885638157411,709
300,612.35591069366183,700
301,612.45296355636629,693
302,612.55001496843943,701
303,612.64706492863274,696
304,612.74411343569818,695
305,612.84116048838712,688
306,612.93820608545172,690
307,613.03525022564327,677
308,613.1322929077138,676
309,613.22933413041494,673
310,613.3263738924984,663
311,613.42341219271611,657
312,613.52044902981959,668
313,613.61748440256076,657
314,613.71451830969136,653
315,613.8115507499632,649
316,613.90858172212791,643
317,614.00561122493752,645
318,614.10263925714366,645
319,614.19966581749816,641
